Title,Industry,Base,Bonus,Bonus Details,Equity,Equity Details,Other
COO,Consumer Goods/Apparel,$250k USD,TRUE,annual performance bonus of up to 30%,FALSE,,
VP Ops,Marketing Agency,$240k base,TRUE,$25k bonus,FALSE,,
VP Ops,Online Education,$180k base,TRUE,$30k bonus,FALSE,,
VP Ops,Media/Animation,$164k,TRUE,$9k contractual performance payments paid out each 6 months,FALSE,,
Managing Director,Agency,$225k base,TRUE,15%,FALSE,,
Head of Operations,Animation,$150-175k,TRUE,,FALSE,,
"Senior Director, HR & Ops",Animation,$190-200k,TRUE,,FALSE,,
"Director, Studio Operations",Media/Animation,$180-200k,TRUE,,FALSE,,
VP of Operations,Video Gaming,$200k,TRUE,,FALSE,,
Director of Business Ops,Animation,$200-225k,FALSE,,FALSE,,
VP Product Strategy,Apparel,$185k,TRUE,,FALSE,,
COO,Apparel,$325k,TRUE,40-50% bonus,FALSE,,
COO,Apparel,$300-350k,FALSE,,FALSE,,
Vice President of Operations,Apparel,$240K,TRUE,30% bonus,FALSE,,
COO,SaaS,High $200k,FALSE,,TRUE,5-10%,
COO,Media,$380 total comp,FALSE,,FALSE,,
COO,Education,$300k+,FALSE,,FALSE,,
COO,Coaching,$500k,TRUE,,TRUE,,
COO,Coaching,$175-200k,TRUE,variable to make ~$250k,FALSE,,
CAO,Education,$350k,TRUE,15% discretionary bonus at end of year based on personal & company performance with criteria set within the first 90 days,FALSE,,10K signing bonus
EIR,Ecommerce,$200k,TRUE,,TRUE,,large incentives on the back end (bonus and/or equity)
COO,Software,$350k,FALSE,,FALSE,,
COO,Apparel,low to mid $300k TCP,TRUE,,FALSE,,
COO,Ecommerce,$300k,TRUE,$15k end of year bonus,FALSE,,
SVP Operations,CPG,$275k,TRUE,35%,FALSE,,
SVP Ops,Childcare,$250k,TRUE,$90k,FALSE,,
CRO,Consulting,>$400k,FALSE,,FALSE,,
President and COO,Ecommerce,$350k,TRUE,,TRUE,,
COO,B2B SaaS,$400k,FALSE,,TRUE,3% equity (company value $10M),
COO,Info Product,$200k,TRUE,1% of earnings,TRUE,1% equity stake,
COO,Affiliates,$400k,FALSE,,FALSE,,Plus Total Comp Incentives
COO,Ecommerce,$350-400k,TRUE,,FALSE,,$500-600k with profit share
COO,Marketplace,$500k base + incentives,TRUE,,TRUE,,
COO,Apparel,$325k,TRUE,40%,FALSE,,LTIP
COO,Software,$500-600k (cash comp),TRUE,,FALSE,,
CCO/CGO,Technology,$350-375k,TRUE,,FALSE,,Profit share
COO,SaaS,high $200k,FALSE,,TRUE,5-10% equity,
EIR,Software,$300-350K total cash,FALSE,,FALSE,,
CRO,Software Development,$350-375k,TRUE,,,,Profit share
COO,IT Services,$300-350k,TRUE,,FALSE,,Profit share
CRO,Energy,$300-350k cash comp,FALSE,,FALSE,,
CRO,SaaS,$500k,FALSE,,FALSE,,Profit share
COO,PE,>$350k total comp with variables,FALSE,,FALSE,,7-figures with sale
COO,Construction,$325-350k,TRUE,profit-based bonus,TRUE,,
COO & Co-Founder,Coaching,$500k,FALSE,,TRUE,,
COO,Software,$225k,FALSE,,FALSE,,
President & COO,B2B SaaS,$400k,FALSE,,TRUE,,
COO,Ecommerce,CAD$330k,FALSE,,FALSE,,
COO,Ecommerce,$325k,TRUE,"bonus of 10% net profit increase (50% paid out on annual basis, 50% paid out in monthly installments for the following year)",TRUE,"15 phantom equity units, vests 15 units over 4 years with a 1 year cliff.",
COO,Affiliates,$400k total comp,FALSE,,FALSE,,
COO,Media,$380 total comp,FALSE,,FALSE,,
COO,SaaS,$500k OTE,FALSE,,FALSE,,
CRO,SaaS,$325-375k,TRUE,,FALSE,,Profit share
COO,Ecommerce,$350-400k cash comp,TRUE,,FALSE,,$500-600k with profit share
COO,SaaS,High $200k,FALSE,,TRUE,5-10% equity,
EIR,Software,$300-350K total comp,FALSE,,FALSE,,
COO,Software,$350k,TRUE,,FALSE,,
COO,Education,$225k base,FALSE,,TRUE,,Profit share
COO,EdTech,$250-300k,TRUE,,TRUE,,
COO,Cybersecurity,$250k,FALSE,,TRUE,,
COO,Education,$300k,FALSE,,TRUE,"If higher equity, more flexible on base",